Nama Buku,Jumlah
Ilmu Pengetahuan Alam SMP/MTs Kelas VII Semester 1,104
Ilmu Pengetahuan Sosial SMP/MTs Kelas VII,94
Bahasa Inggris When English Rings a Bell SMP/MTs Kelas VII,82
Interactive ENGLISH 3 Junior High School Year IX,32
Pendidikan Pancasila dan Kewarganegaraan SMP/MTs Kelas VII,104
PPKn 3 SMP Kelas IX,31
Bahasa Indonesia 3 SMP/MTs Kelas IX,32
PRAKARYA SMP/MTs Kelas VII Semester 1,106
Bahasa Indonesia Wahana Pengetahuan SMP/MTs Kelas VII,94
Pendidikan Jasmani Olahraga dan Kesehatan SMP/MTs Kelas VII Semester 1,102
MATEMATIKA SMP/MTs Kelas VII Semester 1,104
Seni Budaya SMP/MTs Kelas VII Semester 1,106
IPS TERPADU SMP Kelas IX,9
PENDIDIKAN KEMUHAMMADIYAHAN SMP/MTs MUHAMMADIYAH KELAS 7,26
PENDIDIKAN KEMUHAMMADIYAHAN SMP/MTs MUHAMMADIYAH 8,21
PENDIDIKAN KEMUHAMMADIYAHAN SMP/MTs MUHAMMADIYAH 9,33