No,Jenis Koleksi,Judul,Pengarang,Penerbit,Jumlah
1,Kitab,Al-Qur'anulkarim,,,57
1,Kitab,AL-Qur'an dan Terjemahannya,,,5
1,Kitab,Al-Qur'an dan Terjemahan Per Kata,,,4
1,Kitab,Terjemah JUZ 'AMMA,Abu Maulana,Pustaka Nuun,200
2,Tafsir,Tafsir Juz 'Amma for Kids 1,Muhammad Muslih,Tiga Serangkai,2
2,Tafsir,Tafsir Juz 'Amma for Kids 2,Muhammad Muslih,Tiga Serangkai,3
2,Tafsir,Tafsir Juz 'Amma for Kids 3,Muhammad Muslih,Tiga Serangkai,3
2,Tafsir,Tafsir Juz 'Amma for Kids 4,Muhammad Muslih,Tiga Serangkai,3
2,Tafsir,Tafsir Juz 'Amma for Kids 5,Muhammad Muslih,Tiga Serangkai,3
3,Metode Membaca & Menulis Al-Qur'an,Metode AL-Fatihah Sistem Cepat & Tepat 30 Jam,dr. H. Ismail Almuchtaro MPH,Radio Gema Annisa,87
3,Metode Membaca & Menulis Al-Qur'an,Al Furqon Metode Inovatif Membaca Al-Qur'an dengan Cepat 1.5 Jam,Abu Abdurrahman Asy-Syahdi,,206
4,Kamus,Kamus Arab Indonesia Al Kamil,Ustadz Ahmad Najieh,Insan Kamil,38
4,Kamus,Kamus Al Qalam Indonesia - Arab Achmad Sya'bi,Halim,1
4,Kamus,Kamus Arab Indonesia,Drs. M. Muzaki Muhammad Yunus,,1
4,Kamus,Kamus Inggris - Indonesia Indonesia - Inggris,Drs. Purwono Sastro Amijoyo Robert K.Cunningham,Widya Karya,1
5,ENSIKLOPEDI,Ensiklopedi Islam,Prof. Dr. Azyumardi Azra M.A. dkk.,PT. Ichtiar Baru van Hoeve,4
5,ENSIKLOPEDI,Ensiklopedi Matematika untuk SLTP,DR. Wahyudin Drs. Sudrajad M.Pd.,CV. Tarity Samudra Berlian,5
6,ICT (Information Computer Technology),Ayo Bermain Matematika dengan Komputer,Zamrud Tualeka Manshur Tualeka dkk.,PT Mapan,11
6,ICT (Information Computer Technology),Ayo Bermain Pengolahan Kata (Ms. Word),Zamrud Tualeka Manshur Tualeka dkk.,PT Mapan,11
6,ICT (Information Computer Technology),Kamus Istilah ICT,Zamrud Tualeka Manshur Tualeka dkk.,PT Mapan,11
7,Buku Guru,Pendidikan Pancasila dan Kewarganegaraan Kelas VII,,,3
7,Buku Guru,Seni Budaya Kelas VII,,,3
7,Buku Guru,PRAKARYA SMP/MTs Kelas VII Semester 1,Suci Paresti dkk.,Balitbang Kemdikbud,3
8,Buku Pelajaran untuk Siswa,Pendidikan Pancasila 1 SMP/MTs Kelas VII,Agus Dwiyono Bambang Pracaya,Yudhistira,32
8,Buku Pelajaran untuk Siswa,Pendidikan Pancasila 2 SMP/MTs Kelas VIII,Agus Dwiyono Bambang Pracaya,Yudhistira,38
8,Buku Pelajaran untuk Siswa,PPKn 3 SMP Kelas IX,Agus Dwiyono dkk.,Yudhistira,30
8,Buku Pelajaran untuk Siswa,Bahasa Inggris When English Rings a Bell SMP/MTs Kelas VII,Yuli Rulani Khatimah dkk.,Balitbang Kemdikbud,96
8,Buku Pelajaran untuk Siswa,Interactive ENGLISH 3,Rina Dwi Indriastuty,Yudhistira,32